cohort,is_clinical,scheme,rule,rule_label,n_test,prevalence,n_levels_admitted,n_partitions_usable,observed_gap,null_mean,null_median,null_sd,null_skew,null_p95_mde,null_frac_below_own_mean,p_value,p_mc_se,p_report,p_is_floor,n_reps,exceeds_null_p95,exceeds_null_median,p_holm,p_bh,sig_raw,sig_holm,sig_bh
acs_income,False,independent,m30,n >= 30 (published default),4000,0.4105,6,3,0.052729798215596535,0.015753139740639823,0.01508056719809453,0.0069101255488890866,0.5930742218997563,0.028098232460475988,0.5395,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0008999100089991002,0.0008999100089991002,True,True,True
acs_income,False,independent,m50,n >= 50,4000,0.4105,6,3,0.052729798215596535,0.015753139740639823,0.01508056719809453,0.0069101255488890866,0.5930742218997563,0.028098232460475988,0.5395,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0008999100089991002,0.0008999100089991002,True,True,True
acs_income,False,independent,m100,n >= 100,4000,0.4105,6,3,0.052729798215596535,0.015753139740639823,0.01508056719809453,0.0069101255488890866,0.5930742218997563,0.028098232460475988,0.5395,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0007999200079992001,0.0007999200079992001,True,True,True
acs_income,False,independent,ev10,n_pos >= 10 and n_neg >= 10,4000,0.4105,6,3,0.052729798215596535,0.015753139740639823,0.01508056719809453,0.0069101255488890866,0.5930742218997563,0.028098232460475988,0.5395,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0008999100089991002,0.0008999100089991002,True,True,True
acs_income,False,joint,m20,n >= 20,4000,0.4105,6,3,0.052729798215596535,0.015696957717016208,0.015056707755948806,0.00696866359718177,0.6472283674863708,0.028158045767930896,0.5343,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0008999100089991002,0.0008999100089991002,True,True,True
acs_income,False,joint,m30,n >= 30 (published default),4000,0.4105,6,3,0.052729798215596535,0.015696957717016208,0.015056707755948806,0.00696866359718177,0.6472283674863708,0.028158045767930896,0.5343,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0008999100089991002,0.0008999100089991002,True,True,True
acs_income,False,joint,m50,n >= 50,4000,0.4105,6,3,0.052729798215596535,0.015696957717016208,0.015056707755948806,0.00696866359718177,0.6472283674863708,0.028158045767930896,0.5343,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0008999100089991002,0.0008999100089991002,True,True,True
acs_income,False,joint,m100,n >= 100,4000,0.4105,6,3,0.052729798215596535,0.015696957717016208,0.015056707755948806,0.00696866359718177,0.6472283674863708,0.028158045767930896,0.5343,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0007999200079992001,0.0007999200079992001,True,True,True
acs_income,False,joint,ev10,n_pos >= 10 and n_neg >= 10,4000,0.4105,6,3,0.052729798215596535,0.015696957717016208,0.015056707755948806,0.00696866359718177,0.6472283674863708,0.028158045767930896,0.5343,9.999000099990002e-05,0.0,<= 1.00e-04,True,10000,True,True,0.0008999100089991002,0.0008999100089991002,True,True,True
german_credit,False,independent,m20,n >= 20,200,0.7,4,2,0.02913943691975729,0.1037802106972533,0.09724999999999995,0.055626914018764705,0.6713102925544481,0.20624999999999993,0.5475,0.9388061193880612,0.002396968084893915,0.9388,False,10000,False,False,1.0,0.9388061193880612,False,False,False
german_credit,False,independent,m30,n >= 30 (published default),200,0.7,4,2,0.02913943691975729,0.1037802106972533,0.09724999999999995,0.055626914018764705,0.6713102925544481,0.20624999999999993,0.5475,0.9388061193880612,0.002396968084893915,0.9388,False,10000,False,False,1.0,0.9388061193880612,False,False,False
german_credit,False,independent,m50,n >= 50,200,0.7,4,2,0.02913943691975729,0.1037802106972533,0.09724999999999995,0.055626914018764705,0.6713102925544481,0.20624999999999993,0.5475,0.9388061193880612,0.002396968084893915,0.9388,False,10000,False,False,0.9388061193880612,0.9388061193880612,False,False,False
german_credit,False,independent,m100,n >= 100,200,0.7,2,0,,,,,,,,,,,,10000,,,,,False,False,False
