cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_test,n_levels_admissible,partition_sd_ratio,min_level_lp_sd,max_level_lp_sd,min_level_lp_mean,max_level_lp_mean,level_lp_mean_spread,implied_auroc_min_gaussian,implied_auroc_max_gaussian,implied_casemix_gap_gaussian,implied_auroc_min_empirical,implied_auroc_max_empirical,implied_casemix_gap_empirical,observed_auc_gap
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,logreg_l2,False,42,logreg_l2|s42,19890,2,1.0869278695304567,0.39490648135965345,0.4292348604480172,-2.1607770156023345,-2.13227739865636,0.02849961694597436,0.6091459109128784,0.6181680920923605,0.009022181179482058,0.6112647220559928,0.6186048003551214,0.007340078299128638,0.010954741050043015
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,logreg_l2,False,42,logreg_l2|s42,19890,9,3.3859522145364878,0.2877283080549333,0.9742343018434382,-2.581818048026483,-2.0147696759600464,0.5670483720664365,0.5802693888432869,0.741875736261908,0.161606347418621,0.5810896446401869,0.7660932532755321,0.18500360863534526,0.2544166249099835
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,logreg_l2,False,42,logreg_l2|s42,19890,4,1.4237541721468616,0.3216560205690662,0.4579591012813648,-2.279985830371779,-2.1372672092195435,0.14271862115223533,0.5895571532925465,0.625665645172074,0.03610849187952747,0.5911164867085943,0.6276149125956304,0.03649842588703611,0.057716755513607554
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,logreg_l2,False,42,logreg_l2|s42,19890,2,1.0869278695304567,0.39490648135965345,0.4292348604480172,-2.1607770156023345,-2.13227739865636,0.02849961694597436,0.6091459109128784,0.6181680920923605,0.009022181179482058,0.6112647220559928,0.6186048003551214,0.007340078299128638,0.010954741050043015
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,logreg_l2,False,42,logreg_l2|s42,19890,9,3.3859522145364878,0.2877283080549333,0.9742343018434382,-2.581818048026483,-2.0147696759600464,0.5670483720664365,0.5802693888432869,0.741875736261908,0.161606347418621,0.5810896446401869,0.7660932532755321,0.18500360863534526,0.2544166249099835
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,logreg_l2,False,43,logreg_l2|s43,19980,5,1.6933934866443328,0.24838704464803632,0.42061700357381976,-2.3326710018736834,-2.1311832146772773,0.20148778719640603,0.5695331508108538,0.6159080993102409,0.04637494849938717,0.568782014271326,0.6155108130462457,0.046728798774919644,0.10897350829291186
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,logreg_l2,False,43,logreg_l2|s43,19980,2,1.0985016681503261,0.3955621675329482,0.43452570089210235,-2.1632016836264056,-2.120282164381293,0.042919519245112614,0.6093210980104624,0.619542062805577,0.010220964795114584,0.610427199719223,0.6188890729958523,0.008461873276629284,0.005126320171848886
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,logreg_l2,False,43,logreg_l2|s43,19980,10,6.388246388109738,0.14761557331185193,0.9430046530381864,-2.8124240808769208,-1.997324194471432,0.8150998864054888,0.5415416268191477,0.7366971569459455,0.19515553012679776,0.5384544733792296,0.7393211026332519,0.20086662925402232,0.23879345468541657
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,logreg_l2,False,43,logreg_l2|s43,19980,4,1.0491988687538774,0.40089349702919735,0.42061700357381976,-2.1976944659318987,-2.1311832146772773,0.06651125125462132,0.6107537612528854,0.6159080993102409,0.005154338057355545,0.612762037766196,0.6155108130462457,0.0027487752800496867,0.10897350829291186
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,logreg_l2,False,43,logreg_l2|s43,19980,2,1.0985016681503261,0.3955621675329482,0.43452570089210235,-2.1632016836264056,-2.120282164381293,0.042919519245112614,0.6093210980104624,0.619542062805577,0.010220964795114584,0.610427199719223,0.6188890729958523,0.008461873276629284,0.005126320171848886
