row_type,family,geometry,sd_ratio,equalize_prevalence,lp_dist,n,prevalence,n_levels,scales,unfair_w,miscal_slope,miscal_intercept,true_auc_by_level,oracle_auc_by_level,prevalence_by_level,true_auc_gap,true_max_excess_auc,prevalence_ratio,rule,method,is_one_of_the_five,n_sims,n_perm,alpha,seed,geometry_seed_word,pythonhashseed,n_evaluable,n_flag,flag_rate,flag_rate_mc_se,mean_n_admissible_p0,frac_reps_with_level_dropped,description
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,calibration_cox,False,1000,999,0.05,42,746093184,0,1000,42,0.042,0.0063431853196954605,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,diciccio2020,True,1000,999,0.05,42,746093184,0,1000,891,0.891,0.009854897259738428,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,fixed_threshold_005,True,1000,999,0.05,42,746093184,0,1000,986,0.986,0.0037153734670958734,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,four_fifths,True,1000,999,0.05,42,746093184,0,1000,62,0.062,0.007626008130076967,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,lum2022,True,1000,999,0.05,42,746093184,0,1000,910,0.91,0.009049861877399012,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,lum2022_bootstrapCI,True,1000,999,0.05,42,746093184,0,0,0,,,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,lum2022_cochranQ,True,1000,999,0.05,42,746093184,0,0,0,,,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,mbc_excess,False,1000,999,0.05,42,746093184,0,1000,18,0.01898421119786569,0.004315531360453834,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1900_pf,1.9,True,normal,2000,0.2,3,0.725476/1/1.3784,,,,0.688927/0.744643/0.805102,0.688927/0.744643/0.805102,0.2/0.2/0.2,0.11617483290369535,0.0,1.0000000000000968,m30,permutation_null,True,1000,999,0.05,42,746093184,0,1000,896,0.896,0.009653186002558947,3.0,0.0,"SD-ratio sweep at 1.900, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_2000_pf,2.0,True,normal,2000,0.2,3,0.707107/1/1.41421,,,,0.684829/0.744643/0.809936,0.684829/0.744643/0.809936,0.2/0.2/0.2,0.12510674878581374,0.0,1.0000000000000306,m30,calibration_cox,False,1000,999,0.05,42,983511509,0,1000,43,0.043,0.006414904519944158,3.0,0.0,"SD-ratio sweep at 2.000, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
