cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_train,n_test,train_prevalence,test_prevalence,n_levels_admissible,partition_sd_ratio,partition_iqr_ratio,partition_min_lp_sd,partition_max_lp_sd,partition_observed_auc_gap,partition_level_prevalence_ratio,overall_auc,frac_lp_clipped,fit_runtime_s
nhis2023,NHIS 2023,True,ev10,race,nhis2023|race,logreg_l2,False,47.0,logreg_l2|s47,21691,5423,0.1117975197086349,0.1117462659044809,4,1.027120521282836,1.1844074820194437,1.511440775233469,1.552431836945935,0.1174595141700404,1.6363636363636365,0.8248863862927709,0.0,0.0190875999978743
nhis2023,NHIS 2023,True,ev10,insured,nhis2023|insured,logreg_l2,False,47.0,logreg_l2|s47,21691,5423,0.1117975197086349,0.1117462659044809,2,1.181903988290907,1.181819499066067,1.3016749725513712,1.5384548415169226,0.0535430570164408,1.576733237147847,0.8248863862927709,0.0,0.0190875999978743
nhis2023,NHIS 2023,True,m30,age_group,nhis2023|age_group,random_forest,False,42.0,random_forest|s42,21691,5423,0.1117975197086349,0.1117462659044809,4,1.5905567484024046,1.594281309606722,1.034475352541904,1.645391753041482,0.1678176439796431,11.292189036381512,0.8385697039706046,0.0,0.7553482999792323
nhis2023,NHIS 2023,True,m30,sex,nhis2023|sex,random_forest,False,42.0,random_forest|s42,21691,5423,0.1117975197086349,0.1117462659044809,2,1.081157803409387,1.09003919516802,1.8231699003402704,1.971134364693998,0.0161713113570035,1.2233429278092192,0.8385697039706046,0.0,0.7553482999792323
nhis2023,NHIS 2023,True,m30,race,nhis2023|race,random_forest,False,42.0,random_forest|s42,21691,5423,0.1117975197086349,0.1117462659044809,7,1.3012859923964046,1.5402750077389435,1.5496413070637929,2.0165265261209693,0.1293906810035842,4.4,0.8385697039706046,0.0,0.7553482999792323
nhis2023,NHIS 2023,True,m30,insured,nhis2023|insured,random_forest,False,42.0,random_forest|s42,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0290748326224484,1.0627752932766892,1.8465261644146775,1.9002136035780064,0.0447873074658689,1.275429587201264,0.8385697039706046,0.0,0.7553482999792323
nhis2023,NHIS 2023,True,ev10,age_group,nhis2023|age_group,random_forest,False,42.0,random_forest|s42,21691,5423,0.1117975197086349,0.1117462659044809,4,1.5905567484024046,1.594281309606722,1.034475352541904,1.645391753041482,0.1678176439796431,11.292189036381512,0.8385697039706046,0.0,0.7553482999792323
nhis2023,NHIS 2023,True,ev10,sex,nhis2023|sex,random_forest,False,42.0,random_forest|s42,21691,5423,0.1117975197086349,0.1117462659044809,2,1.081157803409387,1.09003919516802,1.8231699003402704,1.971134364693998,0.0161713113570035,1.2233429278092192,0.8385697039706046,0.0,0.7553482999792323
nhis2023,NHIS 2023,True,ev10,race,nhis2023|race,random_forest,False,42.0,random_forest|s42,21691,5423,0.1117975197086349,0.1117462659044809,4,1.0918503383747309,1.1678579014656456,1.846889134203742,2.0165265261209693,0.0279083484882421,1.6857435156767164,0.8385697039706046,0.0,0.7553482999792323
nhis2023,NHIS 2023,True,ev10,insured,nhis2023|insured,random_forest,False,42.0,random_forest|s42,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0290748326224484,1.0627752932766892,1.8465261644146775,1.9002136035780064,0.0447873074658689,1.275429587201264,0.8385697039706046,0.0,0.7553482999792323
nhis2023,NHIS 2023,True,m30,age_group,nhis2023|age_group,random_forest,False,43.0,random_forest|s43,21691,5423,0.1117975197086349,0.1117462659044809,4,1.591397362653423,1.63742709864051,1.0698394535210944,1.702539684796049,0.1200574660844042,10.055370985603544,0.837144608170595,0.0,0.7882510999916121
nhis2023,NHIS 2023,True,m30,sex,nhis2023|sex,random_forest,False,43.0,random_forest|s43,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0670819307696129,1.0780377343568952,1.893904603033005,2.0209513804979164,0.0206426313280186,1.1303152211998908,0.837144608170595,0.0,0.7882510999916121
nhis2023,NHIS 2023,True,m30,race,nhis2023|race,random_forest,False,43.0,random_forest|s43,21691,5423,0.1117975197086349,0.1117462659044809,7,1.2317656443925744,2.064767632327245,1.7132154510898605,2.1102799340950167,0.1458006279434851,4.184210526315789,0.837144608170595,0.0,0.7882510999916121
nhis2023,NHIS 2023,True,m30,insured,nhis2023|insured,random_forest,False,43.0,random_forest|s43,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0390642057147632,1.0254314069847934,1.8862779533306149,1.959963903334745,0.0150227108203156,2.3477548036758566,0.837144608170595,0.0,0.7882510999916121
nhis2023,NHIS 2023,True,ev10,age_group,nhis2023|age_group,random_forest,False,43.0,random_forest|s43,21691,5423,0.1117975197086349,0.1117462659044809,4,1.591397362653423,1.63742709864051,1.0698394535210944,1.702539684796049,0.1200574660844042,10.055370985603544,0.837144608170595,0.0,0.7882510999916121
nhis2023,NHIS 2023,True,ev10,sex,nhis2023|sex,random_forest,False,43.0,random_forest|s43,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0670819307696129,1.0780377343568952,1.893904603033005,2.0209513804979164,0.0206426313280186,1.1303152211998908,0.837144608170595,0.0,0.7882510999916121
nhis2023,NHIS 2023,True,ev10,race,nhis2023|race,random_forest,False,43.0,random_forest|s43,21691,5423,0.1117975197086349,0.1117462659044809,5,1.2317656443925744,2.0376634701300174,1.7132154510898605,2.1102799340950167,0.0782861774241084,3.4858299595141697,0.837144608170595,0.0,0.7882510999916121
nhis2023,NHIS 2023,True,ev10,insured,nhis2023|insured,random_forest,False,43.0,random_forest|s43,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0390642057147632,1.0254314069847934,1.8862779533306149,1.959963903334745,0.0150227108203156,2.3477548036758566,0.837144608170595,0.0,0.7882510999916121
nhis2023,NHIS 2023,True,m30,age_group,nhis2023|age_group,random_forest,False,44.0,random_forest|s44,21691,5423,0.1117975197086349,0.1117462659044809,4,1.550199635230717,1.6694258487274551,1.0758822797722345,1.66783231765411,0.2018761497250386,14.563097866077998,0.8378213573900467,0.0,0.7712366999476217
nhis2023,NHIS 2023,True,m30,sex,nhis2023|sex,random_forest,False,44.0,random_forest|s44,21691,5423,0.1117975197086349,0.1117462659044809,2,1.013141535147084,1.0310739174811996,1.9300053775677268,1.9553686110710944,0.0323489123203847,1.1521549973136245,0.8378213573900467,0.0,0.7712366999476217
nhis2023,NHIS 2023,True,m30,race,nhis2023|race,random_forest,False,44.0,random_forest|s44,21691,5423,0.1117975197086349,0.1117462659044809,7,1.184065751195203,1.6014797428325156,1.7620604057309015,2.0863953779630844,0.1517729015198862,4.723809523809524,0.8378213573900467,0.0,0.7712366999476217
nhis2023,NHIS 2023,True,m30,insured,nhis2023|insured,random_forest,False,44.0,random_forest|s44,21691,5423,0.1117975197086349,0.1117462659044809,2,1.051298036706356,1.0023473011257673,1.8436065521055869,1.9381799486875777,0.0316589957928747,3.2724080267558526,0.8378213573900467,0.0,0.7712366999476217
